fecha_de_ocurrencia,estado_del_evento,fecha_de_conclusion,tipo_de_evento,causa_probable,conocido_atendido,autoridad_ambiental,municipio,area_de_incidencia,barrio_vereda_corregimiento,familias_afectadas,viviendas_destruidas,viviendas_averiadas,acueductos_destruidos,vias_afectadas,puentes_obstruidos_afectados,establecimientos_educativos,afectacion_hectareas,epicentro_sismo,magnitud_richter,localizacion_lat_long_profu,heridos,desaparecidos,fallecidos,fecha_de_reporte,alertas,albergues,observaciones
2020-07-15T00:00:00.000,ATENDIDO,2020-07-15T00:00:00.000,VENDAVAL,FUERTES LLUVIAS,CMGRD GUAPOTA,CAS,GUAPOTA,RURAL,AREA RURAL,10,0,10,0,0,0,0,0,N/A,N/A,N/A,0,0,0,2020-07-15T00:00:00.000,N/A,N/A,"El CMGRD reporta vendaval en algunas veredas que causa afectación en techos y caída de árboles, se adelanta el EDAN 10 familias afetadas"
2020-07-21T00:00:00.000,ATENDIDO,2020-07-21T00:00:00.000,SISMO,INDETERMINADO,CMGRD PIEDECUESTA,CDMB,PIEDECUESTA,URBANO Y RURAL,TODA LA JURISDICCION,0,0,0,0,0,0,0,0,PIEDECUESTA,"5,0º",N/A,0,0,0,2020-07-21T00:00:00.000,N/A,N/A,El CMGRD reporta normalidad en el municipio ante el sismo de 5.0 ° con epicentro en esta población
2020-07-22T00:00:00.000,ATENDIDO,2020-07-22T00:00:00.000,SISMO,INDETERMINADO,CMGRD ZAPATOCA,CAS,ZAPATOCA,URBANO Y RURAL,TODA LA JURISDICCION,0,0,0,0,0,0,0,0,ZAPATOCA,"4,8º",N/A,0,0,0,2020-07-22T00:00:00.000,N/A,N/A,El CMGRD reporta normalidad en el municipio ante el sismo de 4.8 ° con epicentro en esta población
2020-07-25T00:00:00.000,ATENDIDO,2020-07-25T00:00:00.000,CRECIENTE SUBITA,INDETERMINADO,CMGRD CHIMA,CAS,CHIMA,RURAL,QUEBRADA LA CHIMERA,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,2020-07-25T00:00:00.000,N/A,N/A,"El alcalde municipal reporta creciente de la quebrada la Chimera que causa afectaciones a cultivos, se realiza monitoreo a las viviendas de zonas de riesgo y CENSO"
2020-01-10T00:00:00.000,ATENDIDO,2020-01-10T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,CMGRD DE CHARTA,CDMB,CHARTA,RURAL,VEREDA EL PANTANO,0,0,0,0,0,0,0,2,N/A,N/A,N/A,0,0,0,2020-01-10T00:00:00.000,N/A,N/A,"El CMGRD  reporta la atención de un incendio de un incendio forestal en la vereda el Pantano, se afectaron 2 hectáreas de bosques y pastizales, entendido por la comunidad y funcionarios de la alcaldía"
2020-01-29T00:00:00.000,ATENDIDO,2020-01-29T00:00:00.000,CIERRE DE VIA,INUNDACIONES,CMGRD DE BUCARAMANGA,CDMB,BUCARAMANGA,URBANO,ZONA INDUSTRIAL VIA A CHIMITA,0,0,0,0,1,0,0,0,N/A,N/A,N/A,0,0,0,2020-01-29T00:00:00.000,N/A,N/A,"El CMGRD reporta cierre parcial de la via a la zona industrial por inundaciones en el sector de Saceites. Afectaciones en la calle 45 por caída de rocas, causadas por las lluvias de las últimas horas"
2020-01-12T00:00:00.000,ATENDIDO,2020-01-12T00:00:00.000,ACCIDENTE VEHICULAR,INDETERMINADO,CMGRD DE LA BELLEZ,CAS,LA BELLEZA,RURAL,VIA A BARBOSA SECTOR ALTA MIRA,0,0,0,0,0,0,0,0,N/A,N/A,N/A,20,0,5,2020-01-12T00:00:00.000,N/A,N/A,El alcalde del municipio de la Belleza reporta accidente vehicular de bus escalera en la vía que conduce a Barbosa en el sitio conocido como Alta Mira que deja 5 fallecidos entre ellos dos menores de edad y 20 heridos el rescate lo realizó la policía Nacional y la comunidad
2020-01-12T00:00:00.000,ATENDIDO,2020-01-12T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE MATANZA,CDMB,MATANZA,RURAL,CORREGIMIENTO SANTA CRUZ,0,0,0,0,0,0,0,15,N/A,N/A,N/A,0,0,0,2020-01-12T00:00:00.000,N/A,N/A,"El cuerpo de bomberos de Matanza atiende incendio forestal en el corregimiento Santa Cruz de la Colina el cual amenaza nacimientos de agua y viviendas, se encuentra controlado a la espera de ser liquidado en las primeras horas de la mañana del lunes. Afectación de 10 a 15 hectáreas de bosques aproximadamente"
2020-01-13T00:00:00.000,ATENDIDO,2020-01-14T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE SURATA Y EJERCITO,CDMB,SURATA,RURAL,VEREDA CACHIRI VIA A CERRO TURBAY,0,0,0,0,0,0,0,12,N/A,N/A,N/A,0,0,0,2020-01-13T00:00:00.000,N/A,N/A,"El comandante del Batallón Caldas del Ejercito nacional reporta la atención de un incendio Forestal en la vereda Santa Rosa del municipio de Surata, apoyo de los bomberos voluntarios de Suratá"
2020-01-14T00:00:00.000,ATENDIDO,2020-01-14T00:00:00.000,INCENDIO FORESTAL,INDETERMINADO,BOMBEROS DE PIEDECUESTA,CDMB,PIEDECUESTA,RURAL,SECTOR LA CANTERA,0,0,0,0,0,0,0,1.5,N/A,N/A,N/A,0,0,0,2020-01-14T00:00:00.000,N/A,N/A,El comandante de bomberos de Piedecuesta reporta la atención de un incendio forestal en el sector de la cantera que afectó 1.1/2 hectáreas de pastizales y bosques
